neuron_id,neuron_type,partner_id,connection_type
720575940630610042,DNp32,720575940638865011,upstream
720575940630610042,DNp32,720575940639747235,upstream
720575940630610042,DNp32,720575940629450622,upstream
720575940630610042,DNp32,720575940616155933,upstream
720575940630610042,DNp32,720575940619403841,upstream
720575940630610042,DNp32,720575940612700847,upstream
720575940630610042,DNp32,720575940628795413,upstream
720575940630610042,DNp32,720575940613338349,upstream
720575940630610042,DNp32,720575940627659268,upstream
720575940630610042,DNp32,720575940624470247,upstream
720575940630610042,DNp32,720575940463879923,upstream
720575940630610042,DNp32,720575940629040119,upstream
720575940630610042,DNp32,720575940622060040,upstream
720575940630610042,DNp32,720575940613170498,upstream
720575940630610042,DNp32,720575940604821950,upstream
720575940630610042,DNp32,720575940622166998,upstream
720575940630610042,DNp32,720575940616592523,upstream
720575940630610042,DNp32,720575940616987097,upstream
720575940630610042,DNp32,720575940621814911,upstream
720575940630610042,DNp32,720575940628577388,upstream
720575940630610042,DNp32,720575940621470847,upstream
720575940630610042,DNp32,720575940628393713,upstream
720575940630610042,DNp32,720575940607562507,upstream
720575940630610042,DNp32,720575940622009889,upstream
720575940630610042,DNp32,720575940627894471,upstream
720575940630610042,DNp32,720575940619695750,upstream
720575940630610042,DNp32,720575940627468915,upstream
720575940630610042,DNp32,720575940632590818,upstream
720575940630610042,DNp32,720575940633095137,upstream
720575940630610042,DNp32,720575940623764967,upstream
720575940630610042,DNp32,720575940620070827,upstream
720575940630610042,DNp32,720575940625857923,upstream
720575940630610042,DNp32,720575940623617973,upstream
720575940630610042,DNp32,720575940632931298,upstream
720575940630610042,DNp32,720575940623636701,upstream
720575940630610042,DNp32,720575940632670156,upstream
720575940630610042,DNp32,720575940618164534,upstream
720575940630610042,DNp32,720575940632753325,upstream
720575940630610042,DNp32,720575940644574243,upstream
720575940630610042,DNp32,720575940605356960,upstream
720575940630610042,DNp32,720575940620356545,upstream
720575940630610042,DNp32,720575940644301335,upstream
720575940630610042,DNp32,720575940604395436,upstream
720575940630610042,DNp32,720575940644176164,upstream
720575940630610042,DNp32,720575940644004768,upstream
720575940630610042,DNp32,720575940643941832,upstream
720575940630610042,DNp32,720575940593335410,upstream
720575940630610042,DNp32,720575940620032788,upstream
720575940630610042,DNp32,720575940643800776,upstream
720575940630610042,DNp32,720575940616451909,upstream
720575940630610042,DNp32,720575940627386698,upstream
720575940630610042,DNp32,720575940643293837,upstream
720575940630610042,DNp32,720575940621018977,upstream
720575940630610042,DNp32,720575940627465032,upstream
720575940630610042,DNp32,720575940642927140,upstream
720575940630610042,DNp32,720575940612138792,upstream
720575940630610042,DNp32,720575940615624961,upstream
720575940630610042,DNp32,720575940633117580,upstream
720575940630610042,DNp32,720575940623769975,upstream
720575940630610042,DNp32,720575940638853454,upstream
720575940630610042,DNp32,720575940632511759,upstream
720575940630610042,DNp32,720575940618398878,upstream
720575940630610042,DNp32,720575940631713128,upstream
720575940630610042,DNp32,720575940624069012,upstream
720575940630610042,DNp32,720575940623319566,upstream
720575940630610042,DNp32,720575940627309322,upstream
720575940630610042,DNp32,720575940623325661,upstream
720575940630610042,DNp32,720575940624014483,upstream
720575940630610042,DNp32,720575940618335961,upstream
720575940630610042,DNp32,720575940624004864,upstream
720575940630610042,DNp32,720575940623982323,upstream
720575940630610042,DNp32,720575940623978498,upstream
720575940630610042,DNp32,720575940627314020,upstream
720575940630610042,DNp32,720575940631858373,upstream
720575940630610042,DNp32,720575940620913392,upstream
720575940630610042,DNp32,720575940618314897,upstream
720575940630610042,DNp32,720575940614380455,upstream
720575940630610042,DNp32,720575940614204414,upstream
720575940630610042,DNp32,720575940614374034,upstream
720575940630610042,DNp32,720575940618142513,upstream
720575940630610042,DNp32,720575940632399691,upstream
720575940630610042,DNp32,720575940644965940,upstream
720575940630610042,DNp32,720575940633336601,upstream
720575940630610042,DNp32,720575940623530378,upstream
720575940630610042,DNp32,720575940623829301,upstream
720575940630610042,DNp32,720575940615749051,upstream
720575940630610042,DNp32,720575940633286335,upstream
720575940630610042,DNp32,720575940633226652,upstream
720575940630610042,DNp32,720575940611428761,upstream
720575940630610042,DNp32,720575940633209159,upstream
720575940630610042,DNp32,720575940622074109,upstream
720575940630610042,DNp32,720575940642401060,upstream
720575940630610042,DNp32,720575940627574602,upstream
720575940630610042,DNp32,720575940642288269,upstream
720575940630610042,DNp32,720575940612291426,upstream
720575940630610042,DNp32,720575940616733509,upstream
720575940630610042,DNp32,720575940625503979,upstream
720575940630610042,DNp32,720575940640036480,upstream
720575940630610042,DNp32,720575940607596811,upstream
720575940630610042,DNp32,720575940620429820,upstream
720575940630610042,DNp32,720575940625499914,upstream
720575940630610042,DNp32,720575940620124295,upstream
720575940630610042,DNp32,720575940619623407,upstream
720575940630610042,DNp32,720575940639691635,upstream
720575940630610042,DNp32,720575940628211593,upstream
720575940630610042,DNp32,720575940606894722,upstream
720575940630610042,DNp32,720575940616798779,upstream
720575940630610042,DNp32,720575940621761729,upstream
720575940630610042,DNp32,720575940628371475,upstream
720575940630610042,DNp32,720575940639360384,upstream
720575940630610042,DNp32,720575940604759910,upstream
720575940630610042,DNp32,720575940639325941,upstream
720575940630610042,DNp32,720575940628392970,upstream
720575940630610042,DNp32,720575940613009327,upstream
720575940630610042,DNp32,720575940616908177,upstream
720575940630610042,DNp32,720575940639194165,upstream
720575940630610042,DNp32,720575940628538494,upstream
720575940630610042,DNp32,720575940625375240,upstream
720575940630610042,DNp32,720575940628609337,upstream
720575940630610042,DNp32,720575940628831938,upstream
720575940630610042,DNp32,720575940610472146,upstream
720575940630610042,DNp32,720575940628897385,upstream
720575940630610042,DNp32,720575940628917763,upstream
