root_id,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,side,input_synapses,output_synapses,Syn
720575940617532089,glutamate,intrinsic,central,,,CRE050,putative_primary,,right,2936,6756,10
720575940611738035,gaba,intrinsic,central,,,"SMP049,SMP076",putative_primary,,right,3280,13168,10
720575940628137222,glutamate,intrinsic,central,CX,tangential,FB4O,AOTUv4_ventral,,right,356,1495,10
720575940610051733,glutamate,intrinsic,central,CX,tangential,FB4O,AOTUv4_ventral,,right,625,2004,10
720575940620903518,glutamate,intrinsic,central,,,"ATL005,ATL007",CREa1_dorsal,,right,719,1517,10
720575940629897260,glutamate,intrinsic,central,,,CRE075,putative_primary,,right,3316,6328,9
720575940629760567,acetylcholine,intrinsic,central,,,CRE080,DM1_antero_dorsal,,right,449,1855,8
720575940633117580,gaba,intrinsic,central,,,"SMP049,SMP076",putative_primary,,right,3083,13132,8
720575940629332730,acetylcholine,intrinsic,central,,,CRE080,DM1_antero_dorsal,,right,644,2215,8
720575940621569006,glutamate,intrinsic,central,,,ATL033,putative_primary,,right,1058,3601,8
720575940633541857,dopamine,intrinsic,central,DAN,,PAM13,CREa2_medial,,right,346,143,7
720575940612953714,acetylcholine,intrinsic,central,,,LAL196,putative_primary,,right,1216,1671,7
720575940617071372,glutamate,intrinsic,central,,,CRE050,putative_primary,,left,2476,7851,7
720575940608663253,acetylcholine,intrinsic,central,,,CRE082,DM1_antero_dorsal,,right,504,3081,7
720575940636489140,gaba,intrinsic,central,LHCENT,,LHCENT3,primary,,left,7391,22897,7
720575940633145903,gaba,intrinsic,central,CX,,ExR6,LALv1_dorsal,,right,6263,10182,7
720575940612488142,acetylcholine,intrinsic,central,,,SMP053,putative_primary,,right,3175,7818,7
720575940614587615,acetylcholine,intrinsic,central,,,IB064,putative_primary,,right,932,4341,6
720575940649591673,gaba,intrinsic,central,,,CRE100,putative_primary,,left,2554,9882,6
720575940644639342,acetylcholine,intrinsic,central,,,CB0039,putative_primary,,left,1925,7324,6
720575940620715224,acetylcholine,intrinsic,central,MBON,,MBON21,putative_primary,,left,2636,5412,6
720575940618447514,,,,,,,,,,0,0,6
720575940619637056,gaba,intrinsic,central,,,mALD1,CREa1_ventral,,right,2571,23953,5
720575940638886307,acetylcholine,intrinsic,central,,,CL326,putative_primary,,left,1157,3319,5
720575940620959081,,,,,,,,,,0,0,5
720575940614677810,dopamine,intrinsic,central,DAN,,PAM12,CREa2_medial,,right,287,169,5
720575940634057884,acetylcholine,intrinsic,central,,,LAL154,putative_primary,,left,910,4296,5
720575940611981869,,,,,,,,,,0,0,5
720575940640770957,dopamine,intrinsic,central,DAN,,PAM12,CREa2_medial,,right,184,149,5
720575940610181496,dopamine,intrinsic,central,DAN,,PAM12,CREa2_medial,,right,199,174,5
720575940622236365,acetylcholine,intrinsic,central,,,CB2025,DM1_antero_dorsal,,right,568,2322,5
720575940628093309,acetylcholine,intrinsic,central,,,IB049,putative_primary,,right,953,2041,5
720575940625929971,acetylcholine,intrinsic,central,CX,,ExR4,LALv1_dorsal,,right,1314,144,5
720575940636134366,glutamate,intrinsic,central,CX,ring neuron,ER1,EBa1,,right,149,50,5
720575940624169255,acetylcholine,intrinsic,central,,,SMP031,LHl2_dorsal,,right,617,1532,4
720575940635342236,glutamate,intrinsic,central,,,"ATL035,ATL036",putative_primary,,right,575,891,4
720575940620716897,dopamine,intrinsic,central,,,PAL02,putative_primary,,right,1334,810,4
720575940614812319,glutamate,intrinsic,central,,,"ATL005,ATL007",CREa1_dorsal,,right,697,1262,4
720575940626316606,glutamate,intrinsic,central,CX,tangential,"FB4P,FB4Q,FB4R",AOTUv4_ventral,,right,712,2111,4
